trace,frames,algorithm,page_faults,disk_reads,disk_writes
bzip.trace,4,rand,131294,37607,0.1313
bzip.trace,8,rand,43996,16273,0.0440
bzip.trace,16,rand,4572,1506,0.0046
bzip.trace,32,rand,2574,829,0.0026
bzip.trace,64,rand,1606,534,0.0016
bzip.trace,128,rand,918,293,0.0009
bzip.trace,256,rand,424,78,0.0004
bzip.trace,512,rand,317,0,0.0003
bzip.trace,1024,rand,317,0,0.0003
gcc.trace,4,rand,316200,54551,0.3162
gcc.trace,8,rand,217401,37461,0.2174
gcc.trace,16,rand,150228,24791,0.1502
gcc.trace,32,rand,106602,17327,0.1066
gcc.trace,64,rand,75151,12251,0.0752
gcc.trace,128,rand,51245,8579,0.0512
gcc.trace,256,rand,32324,5840,0.0323
gcc.trace,512,rand,16254,3347,0.0163
gcc.trace,1024,rand,7227,1714,0.0072
sixpack.trace,4,rand,354824,89850,0.3548
sixpack.trace,8,rand,230519,54552,0.2305
sixpack.trace,16,rand,145574,32158,0.1456
sixpack.trace,32,rand,88600,19531,0.0886
sixpack.trace,64,rand,51979,12739,0.0520
sixpack.trace,128,rand,29187,8449,0.0292
sixpack.trace,256,rand,15738,5449,0.0157
sixpack.trace,512,rand,9023,3503,0.0090
sixpack.trace,1024,rand,5882,2395,0.0059
swim.trace,4,rand,428135,57835,0.4281
swim.trace,8,rand,321617,54384,0.3216
swim.trace,16,rand,195496,39996,0.1955
swim.trace,32,rand,83772,18363,0.0838
swim.trace,64,rand,35613,8476,0.0356
swim.trace,128,rand,18000,5006,0.0180
swim.trace,256,rand,9319,2961,0.0093
swim.trace,512,rand,5168,1725,0.0052
swim.trace,1024,rand,3471,1017,0.0035
